Bedrooms,Bathrooms,Kitchen quality out of 10,Size in SQFT,Amenities,Price in $
2,2,6.2,1000,"Air Conditioner, 24/7 Electricity and Water, and Bathtub","$100,000.00"
3,3,9.5,15000,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating and Thermostats","$2,000,000.00"
3,3,5.7,13000,"Pool Table, Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating","$1,000,000.00"
1,1,6,3000,"Air Conditioner, 24/7 Electricity and Water, Pool Table, Garden","$500,000.00"
2,2,4.2,9000,"Air Conditioner, 24/7 Electricity and Water, Central Heating","$600,000.00"
2,3,3.5,2000,"Air Conditioner, 24/7 Electricity and Water, and Bathtub","$200,000.00"
1,1,7.8,975,"Air conditioner, 24/7 Electricity and water","$85,000.00"
1,2,8,500,"Air Conditioner, 24/7 Electricty","$60,000.00"
2,1,5.1,3500,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Thermostats and Central Heating","$320,000.00"
3,3,9.8,50000,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating, Thermostats and Garden","$3,000,000.00"
4,4,10,200000,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating, Thermostats, Garden with Tennis court and Pool table","$5,000,000.00"
2,3,7.5,10000,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating and Garden","$700,000.00"
1,2,6.5,2100,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating and Pool table","$210,000.00"
2,1,7.2,300,"Air Conditioner, 24/7 Electricity and Water, and Bathtub","$50,000.00"
3,3,8.3,53000,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating and Thermostats and Garden with Tennis court","$3,500,000.00"
2,2,4.5,7000,"Air Conditioner, 24/7 Electricity and Water, Bathtub","$20,000.00"
5,1,8.5,60000,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating and Thermostats and Garden with Tennis court and pool table","$7,000,000.00"
1,1,6.3,200,"Air Conditioner, 24/7 Electricity and Water, Bathtub","$70,000.00"
1,2,7.4,7000,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating and Thermostats","$500,000.00"
2,2,5.5,5000,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating and Pool table","$700,000.00"
1,2,6.3,433268,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating and Garden","$560,012.00"
2,2,8.6,1871,"Air Conditioner, 24/7 Electricity and Water","$914,169.00"
2,1,8.5,37779,"Air Conditioner, 24/7 Electricity and Water, Bathtub, Central Heating","$76,559.00"
